task_id,domain,k,dimensions,n_dims,k_nn,selector,seed,b_coverage,b_maxsum,b_maxmin,b_novelty,maxsum_stability,redundancy,b_achieved,spread_go,spread_ru,spread_cb,hidden_pref_hits,hidden_pref_draws,hidden_pref_rate,hidden_pref_exact,coverage_by_dimension,n_selected,redundancy_floor,redundancy_excess,n_pool,b_pool,year,q,multiset_stability
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bmaxsum,1782990122,20,67.09090909090912,0.12121212121212122,0.2762626262626263,136.6339404580432,0,20,0.3531100478468901,,,15,50,0.3,0.21978021978021978,go:20/91,20,0,0,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bmaxmin,1782990122,3,1.1818181818181817,0.3939393939393939,0.39393939393939387,2.60731319554849,17,3,0.39393939393939387,,,5,50,0.1,0.03296703296703297,go:3/91,3,0,17,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,bnovelty,1782990122,3,1.1818181818181817,0.3939393939393939,0.39393939393939387,2.60731319554849,17,3,0.39393939393939387,,,5,50,0.1,0.03296703296703297,go:3/91,3,0,17,192,91,2008,1.0,True
1.0-1000-classical-2008-pegsol-12,pegsol,20,go,1,3,maxsum_stability,1782990122,18,52.12121212121219,0.15151515151515152,0.24747474747474751,153.7626486771448,2,18,0.3406615171321058,,,7,50,0.14,0.1978021978021978,go:18/91,20,0,2,192,91,2008,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,bcoverage,2065366244,20,57.21428571428566,0.14285714285714285,0.1559523809523809,141.94833288486535,0,20,0.6022556390977438,0.0,,39,50,0.78,0.8125,"go:20/32,ru:1/1",20,0,0,256,32,2004,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,bmaxsum,2065366244,20,61.07142857142854,0.14285714285714285,0.15476190476190474,144.94046863009703,0,20,0.6428571428571426,0.0,,35,50,0.7,0.8125,"go:20/32,ru:1/1",20,0,0,256,32,2004,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,bmaxmin,2065366244,2,0.5,0.5,0.5,0.8235294117647058,18,2,1.0,0.0,,20,50,0.4,0.53125,"go:2/32,ru:1/1",2,0,18,256,32,2004,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,bnovelty,2065366244,2,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8235294117647058,18,2,0.8571428571428571,0.0,,20,50,0.4,0.53125,"go:2/32,ru:1/1",2,0,18,256,32,2004,1.0,True
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,go+ru,2,3,maxsum_stability,2065366244,19,50.6428571428571,0.14285714285714285,0.1528822055137844,147.7653390641006,1,19,0.5923141186299077,0.0,,39,50,0.78,0.796875,"go:19/32,ru:1/1",20,0,1,256,32,2004,1.0,True
1.0-1000-classical-2004-psr-small-50,psr-small,20,go,1,3,bcoverage,241860376,20,59.5999999999999,0.2,0.2000000000000001,0.0,0,20,0.3136842105263153,,,43,50,0.86,0.8333333333333334,go:20/24,20,0,0,192,24,2004,1.0,True
1.0-1000-classical-2004-psr-small-50,psr-small,20,go,1,3,bmaxsum,241860376,20,59.99999999999991,0.2,0.2000000000000001,0.0,0,20,0.31578947368421006,,,40,50,0.8,0.8333333333333334,go:20/24,20,0,0,192,24,2004,1.0,True
1.0-1000-classical-2004-psr-small-50,psr-small,20,go,1,3,bmaxmin,241860376,4,2.4,0.4,0.4000000000000001,0.0,16,4,0.39999999999999997,,,3,50,0.06,0.16666666666666666,go:4/24,4,0,16,192,24,2004,1.0,True
1.0-1000-classical-2004-psr-small-50,psr-small,20,go,1,3,bnovelty,241860376,4,2.4,0.4,0.4000000000000001,0.0,16,4,0.39999999999999997,,,3,50,0.06,0.16666666666666666,go:4/24,4,0,16,192,24,2004,1.0,True
1.0-1000-classical-2004-psr-small-50,psr-small,20,go,1,3,maxsum_stability,241860376,20,59.5999999999999,0.2,0.2000000000000001,0.0,0,20,0.3136842105263153,,,43,50,0.86,0.8333333333333334,go:20/24,20,0,0,192,24,2004,1.0,True
1.0-1000-classical-2004-satellite-10,satellite,20,go+ru,2,3,bcoverage,1097989417,20,49.37499999999999,0.08333333333333333,0.1305555555555556,76.25131652635511,0,20,0.519736842105263,0.0,,29,50,0.58,0.5208333333333334,"go:20/480,ru:1/1",20,0,0,1000,480,2004,1.0,True
