task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-1998-movie-1,movie,20,bmaxmin,bnovelty,1.0,1.0,744618490
1.0-1000-classical-1998-movie-1,movie,20,bmaxmin,maxsum_stability,0.09090909090909091,0.09090909090909091,744618490
1.0-1000-classical-1998-movie-1,movie,20,bnovelty,bcoverage,0.14285714285714285,0.14285714285714285,744618490
1.0-1000-classical-1998-movie-1,movie,20,bnovelty,bmaxsum,0.2,0.2,744618490
1.0-1000-classical-1998-movie-1,movie,20,bnovelty,bmaxmin,1.0,1.0,744618490
1.0-1000-classical-1998-movie-1,movie,20,bnovelty,bnovelty,1.0,1.0,744618490
1.0-1000-classical-1998-movie-1,movie,20,bnovelty,maxsum_stability,0.09090909090909091,0.09090909090909091,744618490
1.0-1000-classical-1998-movie-1,movie,20,maxsum_stability,bcoverage,0.21212121212121213,0.1111111111111111,744618490
1.0-1000-classical-1998-movie-1,movie,20,maxsum_stability,bmaxsum,0.17647058823529413,0.1111111111111111,744618490
1.0-1000-classical-1998-movie-1,movie,20,maxsum_stability,bmaxmin,0.09090909090909091,0.09090909090909091,744618490
1.0-1000-classical-1998-movie-1,movie,20,maxsum_stability,bnovelty,0.09090909090909091,0.09090909090909091,744618490
1.0-1000-classical-1998-movie-1,movie,20,maxsum_stability,maxsum_stability,1.0,1.0,744618490
1.0-1000-classical-2006-openstacks-1,openstacks,20,bcoverage,bcoverage,1.0,1.0,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bcoverage,bmaxsum,0.6666666666666666,0.6666666666666666,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bcoverage,bmaxmin,0.14285714285714285,0.14285714285714285,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bcoverage,bnovelty,0.14285714285714285,0.14285714285714285,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bcoverage,maxsum_stability,0.48148148148148145,0.21212121212121213,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxsum,bcoverage,0.6666666666666666,0.6666666666666666,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxsum,bmaxsum,1.0,1.0,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxsum,bmaxmin,0.2,0.2,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxsum,bnovelty,0.2,0.2,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxsum,maxsum_stability,0.48148148148148145,0.25,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxmin,bcoverage,0.14285714285714285,0.14285714285714285,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxmin,bmaxsum,0.2,0.2,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxmin,bmaxmin,1.0,1.0,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxmin,bnovelty,1.0,1.0,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bmaxmin,maxsum_stability,0.14285714285714285,0.043478260869565216,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bnovelty,bcoverage,0.14285714285714285,0.14285714285714285,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bnovelty,bmaxsum,0.2,0.2,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bnovelty,bmaxmin,1.0,1.0,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bnovelty,bnovelty,1.0,1.0,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,bnovelty,maxsum_stability,0.14285714285714285,0.043478260869565216,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,maxsum_stability,bcoverage,0.48148148148148145,0.21212121212121213,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,maxsum_stability,bmaxsum,0.48148148148148145,0.25,1425594218
1.0-1000-classical-2006-openstacks-1,openstacks,20,maxsum_stability,bmaxmin,0.14285714285714285,0.043478260869565216,1425594218
